# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 05:09:39 2025
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN disposition:    Archive Disposition
# COLUMN disp_refname:   Archive Disposition Reference
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
EPIC 211429934.01,EPIC 211429934,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.56593400000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5309.00,145.00,-145.00,0,1.553490,,,0,0.910000,,,0,,,,,,4.014490,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m08.02s,136.5334223,+12d05m30.63s,12.0918411,1311.54000000,109.60000000,-94.34000000,14.6380000,0.0690000,-0.0690000,12.8190000,0.0480000,-0.0480000,14.7956000,0.0062580,-0.0062580,2019-02-26,2018-07,2019-02-26
EPIC 211430148.01,EPIC 211430148,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,15.09125700000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5369.00,122.00,-122.00,0,1.554740,,,0,0.930000,,,0,,,,,,4.023230,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m39.37s,130.1640344,+12d05m43.34s,12.0953726,1356.66000000,80.10000000,-71.83000000,15.1810000,0.2290000,-0.2290000,13.0710000,0.0280000,-0.0280000,14.8672000,0.0002560,-0.0002560,2019-02-26,2018-07,2019-02-26
EPIC 211431013.01,EPIC 211431013,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,3.10239800000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5483.32,35.26,-35.26,0,1.853510,,,0,0.960000,,,0,0.0340,0.0330,-0.0330,0,[M/H],3.884350,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m13.70s,133.0570679,+12d06m33.86s,12.1094069,1639.65000000,113.05500000,-113.05500000,15.0260000,0.2170000,-0.2170000,12.8950000,0.0280000,-0.0280000,14.8095000,0.0008790,-0.0008790,2019-02-26,2018-07,2019-02-26
EPIC 211432103.01,EPIC 211432103,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,0.93346092000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6035.64,161.48,-101.01,0,2.621650,0.171881,-0.088134,0,1.120000,0.152437,-0.152356,0,0.2190,0.0092,-0.0092,0,[M/H],3.650140,0.090469,-0.077922,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m24.59s,133.8524535,+12d07m35.94s,12.1266489,323.03700000,4.95100000,-4.80700000,10.1500000,0.0050000,-0.0050000,8.6390000,0.0230000,-0.0230000,9.9920900,0.0002940,-0.0002940,2016-12-21,2016-10,2016-12-21
EPIC 211432167.01,EPIC 211432167,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.81773700000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6290.85,93.34,-152.55,0,3.036130,0.183480,-0.105560,0,1.232000,0.198945,-0.161692,0,-0.2292,0.0058,-0.0058,0,[M/H],3.564040,0.077732,-0.094946,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m27.29s,132.8637222,+12d07m40.07s,12.1277962,177.05900000,3.15400000,-3.04700000,8.2350000,0.0020000,-0.0020000,7.0860000,0.0240000,-0.0240000,8.1448700,0.0003470,-0.0003470,2019-02-26,2018-07,2019-02-26
EPIC 211432176.01,EPIC 211432176,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.81785400000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m27.44s,132.8643410,+12d07m40.20s,12.1278338,174.51600000,5.22800000,-4.93700000,10.2443000,0.0543000,-0.0543000,,,,10.0918000,0.0008370,-0.0008370,2019-02-26,2018-07,2019-02-26
EPIC 211432922.01,EPIC 211432922,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.81861000000,0.00074000000,-0.00082000000,0,,,,,3.40000000,1.30000000,-3.00000000,0,0.30000000,0.12000000,-0.30000000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.380000,0.130000,-0.140000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m29.26s,132.8719019,+12d08m22.19s,12.1394974,684.54200000,101.89000000,-79.10500000,18.5892000,0.0482000,-0.0482000,14.7720000,0.0810000,-0.0810000,17.9078000,0.0011950,-0.0011950,2019-09-05,2019-09,2019-09-05
EPIC 211432946.01,EPIC 211432946,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.67196500000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3243.00,157.00,-157.00,0,0.483697,0.014681,-0.014681,0,0.481713,0.020513,-0.020513,0,,,,,,4.751710,0.007866,-0.007866,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h50m32.93s,132.6372140,+12d08m21.61s,12.1393359,119.43700000,1.10500000,-1.08500000,16.5900000,0.2000000,-0.2000000,11.1310000,0.0200000,-0.0200000,15.0674000,0.0013140,-0.0013140,2019-02-26,2018-07,2019-02-26
EPIC 211436313.01,EPIC 211436313,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,4.33283700000,0.00031100000,-0.00029400000,0,,,,,2.26300000,0.19700000,-0.17200000,0,0.20189168,0.01757519,-0.01534484,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K3,4768.00,138.00,-138.00,0,0.725000,0.052000,-0.049000,0,0.942000,0.423000,-0.297000,0,-0.1360,0.2350,-0.2350,0,[Fe/H],4.693000,0.150000,-0.150000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h09m59.69s,137.4987069,+12d11m26.48s,12.1906885,331.58300000,3.69600000,-3.61600000,14.1240000,0.1140000,-0.1140000,11.8410000,0.0220000,-0.0220000,13.9586000,0.0002080,-0.0002080,2021-11-19,2021-12,2021-11-19
EPIC 211436876.01,EPIC 211436876,1,CANDIDATE,del Ser et al. 2022,1,0,Transit,2022,K2,Published Confirmed,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,1.15240000000,0.00030000000,-0.00040000000,0,0.0125000000,0.0009000000,-0.0011000000,0,0.67460000,0.04540000,-0.03920000,0,0.06018388,0.00405032,-0.00349720,0,,,,,,,,,,,,,,8270.0290,,,0,,,,,0,<a refstr=DEL_SER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2899D/abstract target=ref>del Ser et al. 2022</a>,,5992.00,14.00,-14.00,0,1.057000,0.022000,-0.020000,0,0.992000,0.068000,-0.063000,0,-0.0950,0.0120,-0.0120,0,[Fe/H],4.386000,0.023000,-0.023000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h30m54.63s,127.7276048,+12d11m56.57s,12.1990464,374.53400000,6.57000000,-6.35200000,12.4570000,0.1030000,-0.1030000,10.9970000,0.0180000,-0.0180000,12.2887000,0.0001990,-0.0001990,2022-11-07,2022-10,2022-11-07
EPIC 211438731.01,EPIC 211438731,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,20.48645500000,0.00128800000,-0.00120600000,0,,,,,2.76200000,0.13700000,-0.13500000,0,0.24640956,0.01222234,-0.01204391,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,M4,3664.00,138.00,-138.00,0,0.371000,0.011000,-0.011000,0,0.357000,0.010000,-0.010000,0,0.0690,0.2350,-0.2350,0,[Fe/H],4.852000,0.028000,-0.028000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h57m34.48s,134.3936549,+12d13m37.33s,12.2270375,100.73500000,0.76200000,-0.75110000,16.3600000,0.2000000,-0.2000000,11.5470000,0.0210000,-0.0210000,15.2077000,0.0004770,-0.0004770,2021-11-19,2021-12,2021-11-19
EPIC 211439059.01,EPIC 211439059,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=NARDIELLO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1831N/abstract target=ref>Nardiello et al. 2016</a>,18.63417900000,0.00522900000,-0.00522900000,0,,,,,1.49000000,,,0,0.13300000,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=NARDIELLO_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.463.1831N/abstract target=ref>Nardiello et al. 2016</a>,,,,,,0.821000,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,,,13.1730000,0.0920000,-0.0920000,11.1750000,0.0200000,-0.0200000,13.0279000,0.0006000,-0.0006000,2017-12-13,2016-12,2017-12-13
EPIC 211439059.01,EPIC 211439059,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,18.64504600000,0.00620200000,-0.00571800000,0,,,,,1.80000000,0.30000000,-0.20000000,0,0.16000000,0.03000000,-0.02000000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,0.840000,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,,,13.1730000,0.0920000,-0.0920000,11.1750000,0.0200000,-0.0200000,13.0279000,0.0006000,-0.0006000,2017-12-14,2018-01,2017-12-14
EPIC 211439059.01,EPIC 211439059,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,18.63930000000,0.00310000000,-0.00300000000,0,,,,,1.73000000,0.20000000,-0.31000000,0,0.15400000,0.02000000,-0.02800000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.821000,0.078000,-0.066000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,,,13.1730000,0.0920000,-0.0920000,11.1750000,0.0200000,-0.0200000,13.0279000,0.0006000,-0.0006000,2019-09-05,2019-09,2019-09-05
EPIC 211439059.01,EPIC 211439059,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,18.64100000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4774.48,,,0,,,,,,,,,-0.1038,0.0126,-0.0126,0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h47m53.64s,131.9735167,+12d13m54.43s,12.2317861,297.80000000,,,13.1730000,0.0920000,-0.0920000,11.1750000,0.0200000,-0.0200000,13.0279000,0.0006000,-0.0006000,2016-07-18,2016-10,2016-07-18
EPIC 211442571.01,EPIC 211442571,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.19287000000,0.00060000000,-0.00056000000,0,,,,,1.29000000,0.13000000,-0.16000000,0,0.11500000,0.01200000,-0.01400000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.826000,0.061000,-0.037000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m22.18s,126.3424367,+12d17m09.90s,12.2860829,350.67000000,18.21900000,-16.53200000,13.0780000,0.0920000,-0.0920000,11.3160000,0.0180000,-0.0180000,12.8244000,0.0007940,-0.0007940,2019-09-05,2019-09,2019-09-05
EPIC 211442571.02,EPIC 211442571,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.39934000000,0.00054000000,-0.00051000000,0,,,,,1.08000000,0.12000000,-0.15000000,0,0.09640000,0.01100000,-0.01300000,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.826000,0.061000,-0.037000,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h25m22.18s,126.3424367,+12d17m09.90s,12.2860829,350.67000000,18.21900000,-16.53200000,13.0780000,0.0920000,-0.0920000,11.3160000,0.0180000,-0.0180000,12.8244000,0.0007940,-0.0007940,2019-09-05,2019-09,2019-09-05
EPIC 211449931.01,EPIC 211449931,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,6.66368500000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5691.67,148.55,-148.55,0,1.057090,,,0,1.010000,,,0,-0.4385,0.0134,-0.0134,0,[M/H],4.394160,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h41m57.30s,130.4887643,+12d23m57.97s,12.3994357,965.22200000,44.68500000,-44.68500000,15.0640000,0.1030000,-0.1030000,12.9150000,0.0220000,-0.0220000,14.7191000,0.0004140,-0.0004140,2019-02-26,2018-07,2019-02-26
EPIC 211451776.01,EPIC 211451776,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,12.17682000000,0.00140200000,-0.00141100000,0,,,,,2.24400000,0.11000000,-0.10200000,0,0.20019662,0.00981356,-0.00909985,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,K5,4477.00,51.00,-51.00,0,0.637000,0.019000,-0.018000,0,0.812000,0.179000,-0.146000,0,-0.4850,0.0480,-0.0480,0,[Fe/H],4.739000,0.084000,-0.084000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m29.45s,133.8727161,+12d25m37.03s,12.4269526,235.13500000,2.30300000,-2.30300000,14.2480000,0.1030000,-0.1030000,11.4780000,0.0170000,-0.0170000,13.8524000,0.0002130,-0.0002130,2021-11-19,2021-12,2021-11-19
